Upstream	Downstream
PSMD3	UBC
PSMD3	UBB
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBA52
PSMD3	RPS27A
PSMD3	UBB
PSMD3	UBB
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBB
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBA52
PSMD3	RPS27A
PSMD3	UBB
PSMD3	UBB
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	GMNN
PSMD3	UBC
PSMD3	UBB
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBC
PSMD3	UBA52
PSMD3	RPS27A
PSMD3	UBB
PSMD3	UBB
PSMD3	UBC
PSMD3	UBC
RB1	ORC1
RB1	MCM6
RB1	ORC3
RB1	MCM2
RB1	ORC2
RB1	CDC6
RB1	MCM3
RB1	ORC6
RB1	CDT1
RB1	ORC5
RB1	ORC4
RB1	MCM4
RB1	MCM5
RB1	MCM8
RB1	MCM7
RB1	MCM8
RB1	MCM6
RB1	ORC3
RB1	ORC2
RB1	MCM2
RB1	CDC6
RB1	MCM3
RB1	ORC1
RB1	ORC6
RB1	CDT1
RB1	ORC5
RB1	ORC4
RB1	MCM4
RB1	MCM5
RB1	MCM8
RB1	MCM7
RB1	MCM8
PSMD13	UBC
PSMD13	UBC
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBA52
PSMD13	RPS27A
PSMD13	UBB
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	ORC1
PSMD13	UBC
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBA52
PSMD13	RPS27A
PSMD13	UBB
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBA52
PSMD13	RPS27A
PSMD13	UBB
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	CDC6
PSMD13	UBC
PSMD13	UBC
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBA52
PSMD13	RPS27A
PSMD13	UBB
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBA52
PSMD13	RPS27A
PSMD13	UBB
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	GMNN
PSMD13	UBC
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBC
PSMD13	UBA52
PSMD13	RPS27A
PSMD13	UBB
PSMD13	UBB
PSMD13	UBC
PSMD13	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBA52
PSMD6	RPS27A
PSMD6	UBB
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	ORC1
PSMD6	UBC
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBA52
PSMD6	RPS27A
PSMD6	UBB
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBA52
PSMD6	RPS27A
PSMD6	UBB
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	CDC6
PSMD6	UBC
PSMD6	UBC
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBA52
PSMD6	RPS27A
PSMD6	UBB
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBA52
PSMD6	RPS27A
PSMD6	UBB
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	GMNN
PSMD6	UBC
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBC
PSMD6	UBA52
PSMD6	RPS27A
PSMD6	UBB
PSMD6	UBB
PSMD6	UBC
PSMD6	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBA52
PSMD2	RPS27A
PSMD2	UBB
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	ORC1
PSMD2	UBC
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBA52
PSMD2	RPS27A
PSMD2	UBB
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBA52
PSMD2	RPS27A
PSMD2	UBB
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	CDC6
PSMD2	UBC
PSMD2	UBC
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBA52
PSMD2	RPS27A
PSMD2	UBB
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBA52
PSMD2	RPS27A
PSMD2	UBB
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	GMNN
PSMD2	UBC
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBC
PSMD2	UBA52
PSMD2	RPS27A
PSMD2	UBB
PSMD2	UBB
PSMD2	UBC
PSMD2	UBC
CCNA2	ORC1
CCNA2	MCM6
CCNA2	ORC3
CCNA2	MCM2
CCNA2	ORC2
CCNA2	CDC6
CCNA2	MCM3
CCNA2	ORC6
CCNA2	CDT1
CCNA2	ORC5
CCNA2	ORC4
CCNA2	MCM4
CCNA2	MCM5
CCNA2	MCM8
CCNA2	MCM7
CCNA2	MCM8
CCNA2	MCM6
CCNA2	ORC3
CCNA2	ORC2
CCNA2	MCM2
CCNA2	CDC6
CCNA2	MCM3
CCNA2	ORC1
CCNA2	ORC6
CCNA2	CDT1
CCNA2	ORC5
CCNA2	ORC4
CCNA2	MCM4
CCNA2	MCM5
CCNA2	MCM8
CCNA2	MCM7
CCNA2	MCM8
PSMA7	UBC
PSMA7	UBC
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBA52
PSMA7	RPS27A
PSMA7	UBB
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	ORC1
PSMA7	UBC
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBA52
PSMA7	RPS27A
PSMA7	UBB
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
PSMA7	UBA52
PSMA7	RPS27A
PSMA7	UBB
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	CDC6
PSMA7	UBC
PSMA7	UBC
PSMA7	UBB
PSMA7	UBC
PSMA7	UBC
PSMA7	UBC
